
functions called:
filename: ./drivers/pydotplus_3.py, modulename: pydotplus_3, funcname: <module>
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: Group
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: Group.__init__
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: Group.postParse
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: Hebrew
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: Hiragana
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: Japanese
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: Kanji
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: Katakana
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: Keyword
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: Korean
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: Latin1
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: LatinA
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: LatinB
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: LineEnd
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: LineEnd.__init__
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: LineStart
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: LineStart.__init__
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: Literal
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: Literal.__init__
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: MatchFirst
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: MatchFirst.__init__
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: MatchFirst.__str__
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: MatchFirst.parseImpl
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: MatchFirst.streamline
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: NoMatch
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: NotAny
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: NotAny.__init__
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: NotAny.__str__
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: OneOrMore
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: OneOrMore.__str__
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: OnlyOnce
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: Optional
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: Optional.__init__
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: Optional.__str__
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: Optional.parseImpl
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: Or
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParseBaseException
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParseBaseException.__init__
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParseElementEnhance
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParseElementEnhance.__init__
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParseElementEnhance.__str__
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParseElementEnhance.leaveWhitespace
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParseElementEnhance.parseImpl
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParseElementEnhance.streamline
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParseException
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParseExpression
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParseExpression.__init__
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParseExpression.copy
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParseExpression.leaveWhitespace
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParseExpression.streamline
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParseFatalException
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParseResults
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParseResults.__bool__
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParseResults.__getattr__
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParseResults.__getitem__
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParseResults.__iadd__
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParseResults.__init__
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParseResults.__iter__
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParseResults.__setitem__
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParseResults.haskeys
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParseSyntaxException
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParserElement
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParserElement.__add__
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParserElement.__call__
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParserElement.__eq__
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParserElement.__init__
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParserElement.__invert__
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParserElement.__mul__
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParserElement.__or__
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParserElement.__radd__
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParserElement.__str__
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParserElement._parseNoCache
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParserElement._setResultsName
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParserElement.addCondition
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParserElement.addParseAction
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParserElement.copy
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParserElement.leaveWhitespace
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParserElement.parseString
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParserElement.postParse
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParserElement.preParse
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParserElement.setName
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pyparsing.py, modulename: pyparsing, funcname: ParserElement.setParseAction
